id,contract_file,vulnerability,detector,function_name,function_code,dataset
26,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,getAuction,"    function getAuction(uint256 _tokenId)
    external
    view
    returns
        (
            address seller,
            uint256 startingPrice,
            uint256 endingPrice,
            uint256 duration,
            uint256 startedAt
        ) {
            Auction storage auction = tokenIdToAuction[_tokenId];
            require(_isOnAuction(auction));
            return (
                auction.seller,
                auction.startingPrice,
                auction.endingPrice,
                auction.duration,
                auction.startedAt
            );
        }",smartbugs_wild
27,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,getCurrentPrice,"    function getCurrentPrice(uint256 _tokenId)
    external
    view
    returns(uint256) {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        return _currentPrice(auction);
    }",smartbugs_wild
28,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,_currentPrice,"    function _currentPrice(Auction storage _auction)
    internal
    view
    returns(uint256) {
        uint256 secondsPassed = 0;
        if (now > _auction.startedAt) {
            secondsPassed = now - _auction.startedAt;
        }
        return _computeCurrentPrice(
            _auction.startingPrice,
            _auction.endingPrice,
            _auction.duration,
            secondsPassed
        );
    }",smartbugs_wild
29,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,_computeCurrentPrice,"    function _computeCurrentPrice(
        uint256 _startingPrice,
        uint256 _endingPrice,
        uint256 _duration,
        uint256 _secondsPassed
    )
    internal
    pure
    returns(uint256) {
        if (_secondsPassed >= _duration) {
            return _endingPrice;
        } else {
            int256 totalPriceChange = int256(_endingPrice) - int256(_startingPrice);
            int256 currentPriceChange = totalPriceChange * int256(_secondsPassed) / int256(_duration);
            int256 currentPrice = int256(_startingPrice) + currentPriceChange;
            return uint256(currentPrice);
        }
    }",smartbugs_wild
30,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,cancelAuctionWhenPaused,"    function cancelAuctionWhenPaused(uint256 _tokenId)
    whenPaused
    onlyOwner
    external {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        _cancelAuction(_tokenId, auction.seller);
    }",smartbugs_wild
31,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,Timestamp-Dependency,timestamp,cancelAuction,"    function cancelAuction(uint256 _tokenId)
    external {
        Auction storage auction = tokenIdToAuction[_tokenId];
        require(_isOnAuction(auction));
        address seller = auction.seller;
        require(msg.sender == seller);
        _cancelAuction(_tokenId, seller);
    }",smartbugs_wild
32,0x0d152b9ee87ebae179f64c067a966dd716c50742,Re-entrancy,reentrancy-unlimited-gas,refundETH,"    function refundETH(address payee, uint256 amount) onlyOwner public {
        require(payee != address(0));
        require(this.balance >= amount);
        assert(payee.send(amount));
        RefundETH(owner, payee, amount);
    }",smartbugs_wild
33,0x744d70fdbe2ba4cf95131626614a1763df805b9e,Re-entrancy,reentrancy-no-eth,transferable,"    function transferable(address _from) internal returns(bool) {
        if (activationTime == 0) {
            uint256 f = contribution.finalizedTime();
            if (f > 0) {
                activationTime = f.add(1 weeks);
            } else {
                return false;
            }
        }
        return (getTime() > activationTime) || (_from == sgtExchanger);
    }",smartbugs_wild
34,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-eth,migrateFunds,"    function migrateFunds(address[] _tokens) {
        require(successor != address(0));
        TokenStore newExchange = TokenStore(successor);
        for (uint16 n = 0; n < 20; n++) { 
            address nextSuccessor = newExchange.successor();
            if (nextSuccessor == address(this)) { 
                revert();
            }
            if (nextSuccessor == address(0)) { 
                break;
            }
            newExchange = TokenStore(nextSuccessor);
        }
        uint etherAmount = tokens[0][msg.sender];
        if (etherAmount > 0) {
            tokens[0][msg.sender] = 0;
            newExchange.depositForUser.value(etherAmount)(msg.sender);
        }
        for (n = 0; n < _tokens.length; n++) {
            address token = _tokens[n];
            require(token != address(0)); 
            uint tokenAmount = tokens[token][msg.sender];
            if (tokenAmount == 0) {
                continue;
            }
            if (!Token(token).approve(newExchange, tokenAmount)) {
                revert();
            }
            tokens[token][msg.sender] = 0;
            newExchange.depositTokenForUser(token, tokenAmount, msg.sender);
        }
        FundsMigrated(msg.sender);
    }",smartbugs_wild
35,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-no-eth,trade,"    function trade(address _tokenGet, uint _amountGet, address _tokenGive, uint _amountGive,
        uint _expires, uint _nonce, address _user, uint8 _v, bytes32 _r, bytes32 _s, uint _amount) {
        bytes32 hash = sha256(this, _tokenGet, _amountGet, _tokenGive, _amountGive, _expires, _nonce);
        if (ecrecover(sha3(""\\x19Ethereum Signed Message:\\n32"", hash), _v, _r, _s) != _user ||
            block.number > _expires ||
            safeAdd(orderFills[_user][hash], _amount) > _amountGet) {
            revert();
        }
        tradeBalances(_tokenGet, _amountGet, _tokenGive, _amountGive, _user, msg.sender, _amount);
        orderFills[_user][hash] = safeAdd(orderFills[_user][hash], _amount);
        Trade(_tokenGet, _amount, _tokenGive, _amountGive * _amount / _amountGet, _user, msg.sender, _nonce);
    }",smartbugs_wild
36,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-benign,depositToken,"    function depositToken(address _token, uint _amount) deprecable {
        require(_token != 0);
        if (!Token(_token).transferFrom(msg.sender, this, _amount)) {
            revert();
        }
        tokens[_token][msg.sender] = safeAdd(tokens[_token][msg.sender], _amount);
        Deposit(_token, msg.sender, _amount, tokens[_token][msg.sender]);
    }",smartbugs_wild
37,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-benign,depositTokenForUser,"    function depositTokenForUser(address _token, uint _amount, address _user) deprecable {
        require(_token != address(0));
        require(_user != address(0));
        require(_amount > 0);
        TokenStore caller = TokenStore(msg.sender);
        require(caller.version() > 0); 
        if (!Token(_token).transferFrom(msg.sender, this, _amount)) {
            revert();
        }
        tokens[_token][_user] = safeAdd(tokens[_token][_user], _amount);
    }",smartbugs_wild
38,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-benign,depositForUser,"    function depositForUser(address _user) payable deprecable {
        require(_user != address(0));
        require(msg.value > 0);
        TokenStore caller = TokenStore(msg.sender);
        require(caller.version() > 0); 
        tokens[0][_user] = safeAdd(tokens[0][_user], msg.value);
    }",smartbugs_wild
39,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Re-entrancy,reentrancy-benign,tradeBalances,"    function tradeBalances(address _tokenGet, uint _amountGet, address _tokenGive, uint _amountGive,
        address _user, address _caller, uint _amount) private {
        uint feeTakeValue = safeMul(_amount, fee) / (1 ether);
        uint rebateValue = 0;
        uint tokenGiveValue = safeMul(_amountGive, _amount) / _amountGet; 
        if (accountModifiers != address(0)) {
            var (feeTakeDiscount, rebatePercentage) = AccountModifiersInterface(accountModifiers).tradeModifiers(_user, _caller);
            if (feeTakeDiscount > 100) {
                feeTakeDiscount = 0;
            }
            if (rebatePercentage > 100) {
                rebatePercentage = 0;
            }
            feeTakeValue = safeMul(feeTakeValue, 100 - feeTakeDiscount) / 100; 
            rebateValue = safeMul(rebatePercentage, feeTakeValue) / 100; 
        }
        tokens[_tokenGet][_user] = safeAdd(tokens[_tokenGet][_user], safeAdd(_amount, rebateValue));
        tokens[_tokenGet][_caller] = safeSub(tokens[_tokenGet][_caller], safeAdd(_amount, feeTakeValue));
        tokens[_tokenGive][_user] = safeSub(tokens[_tokenGive][_user], tokenGiveValue);
        tokens[_tokenGive][_caller] = safeAdd(tokens[_tokenGive][_caller], tokenGiveValue);
        tokens[_tokenGet][feeAccount] = safeAdd(tokens[_tokenGet][feeAccount], safeSub(feeTakeValue, rebateValue));
        if (tradeTracker != address(0)) {
            TradeTrackerInterface(tradeTracker).tradeComplete(_tokenGet, _amount, _tokenGive, tokenGiveValue, _user, _caller, feeTakeValue, rebateValue);
        }
    }",smartbugs_wild
40,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,addAdmin,"    function addAdmin(address admin) public auth returns(bool) {
        if (isAdmin[admin] == false) {
            isAdmin[admin] = true;
            emit LogAddAdmin(msg.sender, admin);
        }
        return true;
    }",smartbugs_wild
41,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,setName,"    function setName(string name_) public auth {
        name = name_;
    }",smartbugs_wild
42,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,setUnlockTime,"    function setUnlockTime(uint unlockTime_) public auth {
        unlockTime = unlockTime_;
    }",smartbugs_wild
43,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,stop,"    function stop() public auth note {
        stopped = true;
    }",smartbugs_wild
44,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,removeAdmin,"    function removeAdmin(address admin) public auth returns(bool) {
        if (isAdmin[admin] == true) {
            isAdmin[admin] = false;
            emit LogRemoveAdmin(msg.sender, admin);
        }
        return true;
    }",smartbugs_wild
45,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-benign,start,"    function start() public auth note {
        stopped = false;
    }",smartbugs_wild
46,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-no-eth,setAuthority,"    function setAuthority(DSAuthority authority_)
    public
    auth {
        authority = authority_;
        emit LogSetAuthority(authority);
    }",smartbugs_wild
47,0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,Re-entrancy,reentrancy-no-eth,setOwner,"    function setOwner(address owner_)
    public
    auth {
        removeAdmin(owner);
        owner = owner_;
        addAdmin(owner);
        emit LogSetOwner(owner);
    }",smartbugs_wild
48,0x798abda6cc246d0edba912092a2a3dbd3d11191b,Re-entrancy,reentrancy-unlimited-gas,withdrawEther,"    function withdrawEther(uint amount, address sendTo) external onlyAdmin {
        sendTo.transfer(amount);
        EtherWithdraw(amount, sendTo);
    }",smartbugs_wild
49,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,_find,"    function _find(uint id)
    internal
    view
    returns(uint) {
        require(id > 0);
        address buy_gem = address(offers[id].buy_gem);
        address pay_gem = address(offers[id].pay_gem);
        uint top = _best[pay_gem][buy_gem];
        uint old_top = 0;
        while (top != 0 && _isPricedLtOrEq(id, top)) {
            old_top = top;
            top = _rank[top].prev;
        }
        return old_top;
    }",smartbugs_wild
50,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,isActive,"    function isActive(uint id) public constant returns(bool active) {
        return offers[id].timestamp > 0;
    }",smartbugs_wild
51,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,take,"    function take(bytes32 id, uint128 maxTakeAmount) public {
        require(buy(uint256(id), maxTakeAmount));
    }",smartbugs_wild
52,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,_unsort,"    function _unsort(
        uint id 
    )
    internal
    returns(bool) {
        address buy_gem = address(offers[id].buy_gem);
        address pay_gem = address(offers[id].pay_gem);
        require(_span[pay_gem][buy_gem] > 0);
        require(_rank[id].delb == 0 && 
            isOfferSorted(id));
        if (id != _best[pay_gem][buy_gem]) { 
            require(_rank[_rank[id].next].prev == id);
            _rank[_rank[id].next].prev = _rank[id].prev;
        } else { 
            _best[pay_gem][buy_gem] = _rank[id].prev;
        }
        if (_rank[id].prev != 0) { 
            require(_rank[_rank[id].prev].next == id);
            _rank[_rank[id].prev].next = _rank[id].next;
        }
        _span[pay_gem][buy_gem]--;
        _rank[id].delb = block.number; 
        return true;
    }",smartbugs_wild
53,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,getBuyAmount,"    function getBuyAmount(ERC20 buy_gem, ERC20 pay_gem, uint pay_amt) public constant returns(uint fill_amt) {
        var offerId = getBestOffer(buy_gem, pay_gem); 
        while (pay_amt > offers[offerId].buy_amt) {
            fill_amt = add(fill_amt, offers[offerId].pay_amt); 
            pay_amt = sub(pay_amt, offers[offerId].buy_amt); 
            if (pay_amt > 0) { 
                offerId = getWorseOffer(offerId); 
                require(offerId != 0); 
            }
        }
        fill_amt = add(fill_amt, rmul(pay_amt * 10 ** 9, rdiv(offers[offerId].pay_amt, offers[offerId].buy_amt)) / 10 ** 9); 
    }",smartbugs_wild
54,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,Timestamp-Dependency,timestamp,buy,"    function buy(uint id, uint quantity)
    public
    can_buy(id)
    synchronized
    returns(bool) {
        OfferInfo memory offer = offers[id];
        uint spend = mul(quantity, offer.buy_amt) / offer.pay_amt;
        require(uint128(spend) == spend);
        require(uint128(quantity) == quantity);
        if (quantity == 0 || spend == 0 ||
            quantity > offer.pay_amt || spend > offer.buy_amt) {
            return false;
        }
        offers[id].pay_amt = sub(offer.pay_amt, quantity);
        offers[id].buy_amt = sub(offer.buy_amt, spend);
        require(offer.buy_gem.transferFrom(msg.sender, offer.owner, spend));
        require(offer.pay_gem.transfer(msg.sender, quantity));
        LogItemUpdate(id);
        LogTake(
            bytes32(id),
            keccak256(offer.pay_gem, offer.buy_gem),
            offer.owner,
            offer.pay_gem,
            offer.buy_gem,
            msg.sender,
            uint128(quantity),
            uint128(spend),
            uint64(now)
        );
        LogTrade(quantity, offer.pay_gem, spend, offer.buy_gem);
        if (offers[id].pay_amt == 0) {
            delete offers[id];
        }
        return true;
    }",smartbugs_wild
